id,name,path
"976759_5024778_4494635","Kraft Summer","Food/Brands/Kraft Summer"
"976759_5024778_2733845","Kraft Tailgate Homegate","Food/Brands/Kraft Tailgate Homegate"
"976759_5024778_1826565","LaCroix","Food/Brands/LaCroix"
"976759_5024778_6089814","Land O Frost","Food/Brands/Land O Frost"
"976759_5024778_7432091","Lays-Ruffles-Favorites","Food/Brands/Lays-Ruffles-Favorites"
"976759_5024778_8513423","LesserEvil","Food/Brands/LesserEvil"
"976759_5024778_8445270","Lindt Chocolate","Food/Brands/Lindt Chocolate"
"976759_5024778_2432393","Lindt Lindor","Food/Brands/Lindt Lindor"
"976759_5024778_6238873","Made Better","Food/Brands/Made Better"
"976759_5024778_1729826","Make It Home","Food/Brands/Make It Home"
"976759_5024778_8099834","Make It Home","Food/Brands/Make It Home"
"976759_5024778_4640920","Mama Marys","Food/Brands/Mama Marys"
"976759_5024778_9410706","Maxwell House","Food/Brands/Maxwell House"
"976759_5024778_6070636","McCormick","Food/Brands/McCormick"
"976759_5024778_4544151","McCormick Holiday","Food/Brands/McCormick Holiday"
"976759_5024778_5601273","Merry in the making","Food/Brands/Merry in the making"
"976759_5024778_9392277","Mondelez","Food/Brands/Mondelez"
"976759_5024778_8908532","Morton Salt","Food/Brands/Morton Salt"
"976759_5024778_7202272","National Coffee Month","Food/Brands/National Coffee Month"
"976759_5024778_5515352","National Ice Cream Month","Food/Brands/National Ice Cream Month"
"976759_5024778_9565586","Nature Valley","Food/Brands/Nature Valley"
"976759_5024778_2990490","Nature Valley Recycle","Food/Brands/Nature Valley Recycle"
"976759_5024778_4292340","Nesquick","Food/Brands/Nesquick"
"976759_5024778_4926538","Nestle Back to Routine","Food/Brands/Nestle Back to Routine"
"976759_5024778_2103574","Nestle Holiday","Food/Brands/Nestle Holiday"
"976759_5024778_9424659","Nestle holiday meal solutions","Food/Brands/Nestle holiday meal solutions"
"976759_5024778_3552288","Nestle-holiday-baking","Food/Brands/Nestle-holiday-baking"
"976759_5024778_3547129","Old El Paso","Food/Brands/Old El Paso"
"976759_5024778_9303613","Oreo","Food/Brands/Oreo"
"976759_5024778_4890446","Oreo Pride","Food/Brands/Oreo Pride"
"976759_5024778_5968931","Oscar Mayer","Food/Brands/Oscar Mayer"
"976759_5024778_3296546","Pace Taco Night","Food/Brands/Pace Taco Night"
"976759_5024778_6278121","Pearl Milling","Food/Brands/Pearl Milling"
"976759_5024778_5461032","Pepsi Game Day Picks","Food/Brands/Pepsi Game Day Picks"
"976759_5024778_8428704","Permissible Snacking","Food/Brands/Permissible Snacking"
"976759_5024778_2631520","Pillsbury Cookies","Food/Brands/Pillsbury Cookies"
"976759_5024778_7073908","Planters","Food/Brands/Planters"
"976759_5024778_1666231","Pompeian","Food/Brands/Pompeian"
"976759_5024778_8586091","Quaker","Food/Brands/Quaker"
"976759_5024778_5431931","Quaker School Foods","Food/Brands/Quaker School Foods"
"976759_5024778_3359221","RedBull Gaming","Food/Brands/RedBull Gaming"
"976759_5024778_4226980","Reese's","Food/Brands/Reese's"
"976759_5024778_7828716","REIGN Total Body Fuel","Food/Brands/REIGN Total Body Fuel"
"976759_5024778_1434803","Ritz","Food/Brands/Ritz"
"976759_5024778_1660638","Ritz Pair Up for Good","Food/Brands/Ritz Pair Up for Good"
"976759_5024778_4249193","Rockstar Energy","Food/Brands/Rockstar Energy"
"976759_5024778_2290596","Rumba Meats","Food/Brands/Rumba Meats"
"976759_5024778_7508556","Sabra","Food/Brands/Sabra"
"976759_5024778_3053056","Simple Mills","Food/Brands/Simple Mills"
"976759_5024778_2984863","Smithfield Foods Inc","Food/Brands/Smithfield Foods Inc"
"976759_5024778_1401926","Smuckers","Food/Brands/Smuckers"
"976759_5024778_1901586","Smuckers NYNYRTS","Food/Brands/Smuckers NYNYRTS"
"976759_5024778_6299540","Splenda","Food/Brands/Splenda"
"976759_5024778_2587501","Spooky Season","Food/Brands/Spooky Season"
"976759_5024778_1879261","Starbucks by Nespresso","Food/Brands/Starbucks by Nespresso"
"976759_5024778_5086660","Starbucks Flavors","Food/Brands/Starbucks Flavors"
"976759_5024778_6944066","Starbucks Seasons","Food/Brands/Starbucks Seasons"
"976759_5024778_3687838","Starbucks Summer","Food/Brands/Starbucks Summer"
"976759_5024778_2262368","Stranger Things","Food/Brands/Stranger Things"
"976759_5024778_3335011","SunMaidBacktoSchool","Food/Brands/SunMaidBacktoSchool"
"976759_5024778_2280393","Swedish Fish & Friends","Food/Brands/Swedish Fish & Friends"
"976759_5024778_4264825","Tazo Regenerative","Food/Brands/Tazo Regenerative"
