id,name,path
"1334134_9095703","Michael's Arts & Crafts","Arts Crafts & Sewing/Michael's Arts & Crafts"
"1334134_3540724","Pellon","Arts Crafts & Sewing/Pellon"
"1334134_4597651","Red Heart Yarn","Arts Crafts & Sewing/Red Heart Yarn"
"1334134_7616708","Red Heart Yarn","Arts Crafts & Sewing/Red Heart Yarn"
"1334134_2655213","Resin","Arts Crafts & Sewing/Resin"
"1334134_2655213_6572023","Epoxy Resin","Arts Crafts & Sewing/Resin/Epoxy Resin"
"1334134_2655213_1455906","Resin Jewelry","Arts Crafts & Sewing/Resin/Resin Jewelry"
"1334134_2655213_8634874","Resin Kits","Arts Crafts & Sewing/Resin/Resin Kits"
"1334134_2655213_2506521","Resin Molds","Arts Crafts & Sewing/Resin/Resin Molds"
"1334134_2655213_5972569","Resin Shop All","Arts Crafts & Sewing/Resin/Resin Shop All"
"1334134_2655213_5548164","UV Resin","Arts Crafts & Sewing/Resin/UV Resin"
"1334134_8495017","Scrapbooking","Arts Crafts & Sewing/Scrapbooking"
"1334134_8495017_9187189","Craft Cutting Tools","Arts Crafts & Sewing/Scrapbooking/Craft Cutting Tools"
"1334134_8495017_2611013","Photo Albums & Refills","Arts Crafts & Sewing/Scrapbooking/Photo Albums & Refills"
"1334134_8495017_8541719","Photo Mounting Corners & Paper Edgers","Arts Crafts & Sewing/Scrapbooking/Photo Mounting Corners & Paper Edgers"
"1334134_8495017_5361764","Picture Framing","Arts Crafts & Sewing/Scrapbooking/Picture Framing"
"1334134_8495017_4451507","Scrapbook Paper","Arts Crafts & Sewing/Scrapbooking/Scrapbook Paper"
"1334134_8495017_8268489","Scrapbooking Embellishments","Arts Crafts & Sewing/Scrapbooking/Scrapbooking Embellishments"
"1334134_8495017_8505615","Scrapbooking Kits","Arts Crafts & Sewing/Scrapbooking/Scrapbooking Kits"
"1334134_8495017_1021746","Stamping","Arts Crafts & Sewing/Scrapbooking/Stamping"
"1334134_8495017_3605084","Stencils & Templates","Arts Crafts & Sewing/Scrapbooking/Stencils & Templates"
"1334134_8495017_5211307","Stickers","Arts Crafts & Sewing/Scrapbooking/Stickers"
"1334134_1094704","Sewing","Arts Crafts & Sewing/Sewing"
"1334134_4770","Sewing Machines","Arts Crafts & Sewing/Sewing Machines"
"1334134_4770_8422067","Beginner Sewing Machines","Arts Crafts & Sewing/Sewing Machines/Beginner Sewing Machines"
"1334134_4770_4701045","Computerized Sewing Machine","Arts Crafts & Sewing/Sewing Machines/Computerized Sewing Machine"
"1334134_4770_2104233","Coverstitch Machine","Arts Crafts & Sewing/Sewing Machines/Coverstitch Machine"
"1334134_4770_5640097","Embroidery Machines","Arts Crafts & Sewing/Sewing Machines/Embroidery Machines"
"1334134_4770_6560205","Handheld Sewing Machines","Arts Crafts & Sewing/Sewing Machines/Handheld Sewing Machines"
"1334134_4770_3284636","Heavy Duty Sewing Machines","Arts Crafts & Sewing/Sewing Machines/Heavy Duty Sewing Machines"
"1334134_4770_3320968","Industrial Sewing Machine","Arts Crafts & Sewing/Sewing Machines/Industrial Sewing Machine"
